RID,MajorVersion,MinorVersion,BuildNumber,RevisionNumber,Flags,PublicKeyOrToken,Name,Locale
1,11,0,0,0,0,B03F5F7F11D50A3A,System.Runtime,
2,11,0,0,0,0,B03F5F7F11D50A3A,System.Runtime,
